Phrase,QorS
Why do dogs eat grass,1
Do dogs dream,1
Why do dogs howl,1
Why do dogs have whiskers,1
"How much and how often does the pet eat, go outside, go to the toilet",1
How do you deal with good and bad behaviours,1
What is the pet's behaviour like on a walk,1
What are their favourite toys and games,1
What to do in case the pet gets out when theyre not supposed to,1
Is there anything the pet is scared of or reacts to,1
What should you do if you need to leave for any reason,1
"How did you come up with the name, does it have any specific significance",1
What breed is your pet,1
What is your pets favorite food,1
What is the naughtiest thing your pet has ever done,1
Does your pet have a nickname and what is it,1
What is the funniest memory involving your pet,1
What is the hardest thing about being a pet owner,1
Why do dogs wag their tails,1
What common foods are poisonous to my dog,1
Dogs dont feel guilt,0
Dog urine can corrode metal,0
Dogs can see in colour,0
No compass needed,0
Their sense of smell is really powerful,0
Dogs can smell diseases,0
A wagging tail doesnt always mean they are happy,0
Dogs noseprints work like human fingerprints,0
Dogs dream just like you,0
Dogs are just as likely to be left or right handed,0
Dogs noses are wet to help absorb scent chemicals,0
Three dogs survived the Titanic sinking,0
The tallest dog in the world is 44 inches tall,0
A Greyhound could beat a Cheetah in a long distance race,0
The Ewoks in Star Wars were based on a dog,0
30% of Dalmatians are deaf in one ear,0
Dogs have three eyelids,0
An adult dog has 42 teeth,0
More than 1 in 3 families in the United States owns a dog,0
The average body temperature for a dog is 101.2,0
